segment_id,name,description,criteria,created_by,created_at
121,Neurology 50-64 - Southeast,Neurology audience aged 50-64 in the Southeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Neurology"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",439,2025-08-26T14:42:42
122,Dermatology 65+ - West,Dermatology audience aged 65+ in the West region,"{""age_band"": ""65+"", ""specialty_interest"": ""Dermatology"", ""region"": ""West"", ""risk_profile"": ""Moderate risk""}",45,2025-02-22T20:04:23
123,Oncology 18-34 - Southeast,Oncology audience aged 18-34 in the Southeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Oncology"", ""region"": ""Southeast"", ""risk_profile"": ""Moderate risk""}",166,2026-04-14T09:02:58
124,Diabetes 35-49 - Midwest,Diabetes audience aged 35-49 in the Midwest region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Diabetes"", ""region"": ""Midwest"", ""risk_profile"": ""Moderate risk""}",121,2025-03-30T11:45:13
125,Pulmonology 50-64 - Midwest,Pulmonology audience aged 50-64 in the Midwest region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Pulmonology"", ""region"": ""Midwest"", ""risk_profile"": ""High risk""}",371,2025-07-06T11:12:28
126,Primary Care 18-34 - National,Primary Care audience aged 18-34 in the National region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Primary Care"", ""region"": ""National"", ""risk_profile"": ""Moderate risk""}",355,2024-10-18T00:59:57
127,Cardiology 18-34 - Southwest,Cardiology audience aged 18-34 in the Southwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Cardiology"", ""region"": ""Southwest"", ""risk_profile"": ""Moderate risk""}",82,2025-02-26T09:30:48
128,Cardiology 50-64 - National,Cardiology audience aged 50-64 in the National region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Cardiology"", ""region"": ""National"", ""risk_profile"": ""Moderate risk""}",189,2025-08-07T21:26:55
129,Neurology 35-49 - Southeast,Neurology audience aged 35-49 in the Southeast region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Neurology"", ""region"": ""Southeast"", ""risk_profile"": ""Moderate risk""}",79,2025-04-05T21:25:01
130,Dermatology 50-64 - National,Dermatology audience aged 50-64 in the National region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Dermatology"", ""region"": ""National"", ""risk_profile"": ""High risk""}",468,2025-04-18T04:52:17
131,Neurology 35-49 - National,Neurology audience aged 35-49 in the National region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Neurology"", ""region"": ""National"", ""risk_profile"": ""High risk""}",448,2025-12-20T01:39:12
132,Preventive Care 18-34 - West,Preventive Care audience aged 18-34 in the West region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Preventive Care"", ""region"": ""West"", ""risk_profile"": ""High risk""}",186,2024-06-17T03:56:24
133,Diabetes 18-34 - West,Diabetes audience aged 18-34 in the West region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Diabetes"", ""region"": ""West"", ""risk_profile"": ""High risk""}",104,2025-07-06T07:55:58
134,Oncology 35-49 - Midwest,Oncology audience aged 35-49 in the Midwest region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Oncology"", ""region"": ""Midwest"", ""risk_profile"": ""High risk""}",227,2024-07-16T18:52:15
135,Preventive Care 35-49 - Northeast,Preventive Care audience aged 35-49 in the Northeast region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Preventive Care"", ""region"": ""Northeast"", ""risk_profile"": ""High risk""}",229,2026-01-05T15:06:47
136,Preventive Care 18-34 - Southeast,Preventive Care audience aged 18-34 in the Southeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Preventive Care"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",213,2025-04-07T07:20:26
137,Preventive Care 18-34 - National,Preventive Care audience aged 18-34 in the National region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Preventive Care"", ""region"": ""National"", ""risk_profile"": ""Moderate risk""}",371,2024-05-04T09:49:50
138,Primary Care 65+ - Northeast,Primary Care audience aged 65+ in the Northeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Primary Care"", ""region"": ""Northeast"", ""risk_profile"": ""High risk""}",112,2025-07-10T16:30:12
139,Diabetes 18-34 - Southwest,Diabetes audience aged 18-34 in the Southwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Diabetes"", ""region"": ""Southwest"", ""risk_profile"": ""Moderate risk""}",359,2024-06-06T00:34:15
140,Cardiology 18-34 - Southwest,Cardiology audience aged 18-34 in the Southwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Cardiology"", ""region"": ""Southwest"", ""risk_profile"": ""Low risk""}",147,2025-03-01T01:49:55
141,Oncology 35-49 - National,Oncology audience aged 35-49 in the National region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Oncology"", ""region"": ""National"", ""risk_profile"": ""High risk""}",331,2025-03-10T00:06:52
142,Dermatology 50-64 - Southwest,Dermatology audience aged 50-64 in the Southwest region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Dermatology"", ""region"": ""Southwest"", ""risk_profile"": ""Moderate risk""}",193,2024-06-18T19:58:05
143,Pulmonology 35-49 - Northeast,Pulmonology audience aged 35-49 in the Northeast region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Pulmonology"", ""region"": ""Northeast"", ""risk_profile"": ""Low risk""}",276,2025-02-16T19:08:38
144,Neurology 35-49 - Northeast,Neurology audience aged 35-49 in the Northeast region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Neurology"", ""region"": ""Northeast"", ""risk_profile"": ""Low risk""}",153,2025-04-12T03:01:05
145,Dermatology 65+ - Southeast,Dermatology audience aged 65+ in the Southeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Dermatology"", ""region"": ""Southeast"", ""risk_profile"": ""Low risk""}",236,2025-01-11T08:53:06
146,Primary Care 35-49 - Southeast,Primary Care audience aged 35-49 in the Southeast region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Primary Care"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",392,2024-07-14T03:34:35
147,Dermatology 18-34 - West,Dermatology audience aged 18-34 in the West region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Dermatology"", ""region"": ""West"", ""risk_profile"": ""Low risk""}",124,2024-09-24T13:38:23
148,Cardiology 18-34 - West,Cardiology audience aged 18-34 in the West region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Cardiology"", ""region"": ""West"", ""risk_profile"": ""Low risk""}",229,2025-07-25T19:31:05
149,Neurology 18-34 - National,Neurology audience aged 18-34 in the National region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Neurology"", ""region"": ""National"", ""risk_profile"": ""Low risk""}",206,2025-03-24T10:51:35
150,Neurology 35-49 - Northeast,Neurology audience aged 35-49 in the Northeast region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Neurology"", ""region"": ""Northeast"", ""risk_profile"": ""Low risk""}",258,2024-11-28T04:15:41
151,Pulmonology 35-49 - West,Pulmonology audience aged 35-49 in the West region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Pulmonology"", ""region"": ""West"", ""risk_profile"": ""High risk""}",396,2025-09-21T20:54:11
152,Neurology 50-64 - Midwest,Neurology audience aged 50-64 in the Midwest region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Neurology"", ""region"": ""Midwest"", ""risk_profile"": ""Low risk""}",339,2025-05-27T08:49:26
153,Dermatology 35-49 - Midwest,Dermatology audience aged 35-49 in the Midwest region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Dermatology"", ""region"": ""Midwest"", ""risk_profile"": ""Moderate risk""}",32,2025-06-23T21:58:40
154,Dermatology 35-49 - West,Dermatology audience aged 35-49 in the West region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Dermatology"", ""region"": ""West"", ""risk_profile"": ""Moderate risk""}",25,2025-01-10T00:21:27
155,Pulmonology 65+ - National,Pulmonology audience aged 65+ in the National region,"{""age_band"": ""65+"", ""specialty_interest"": ""Pulmonology"", ""region"": ""National"", ""risk_profile"": ""Moderate risk""}",210,2024-08-11T09:37:04
156,Dermatology 50-64 - Southeast,Dermatology audience aged 50-64 in the Southeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Dermatology"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",243,2024-10-21T15:58:21
157,Primary Care 35-49 - National,Primary Care audience aged 35-49 in the National region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Primary Care"", ""region"": ""National"", ""risk_profile"": ""Low risk""}",413,2025-04-12T03:24:52
158,Dermatology 18-34 - Southwest,Dermatology audience aged 18-34 in the Southwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Dermatology"", ""region"": ""Southwest"", ""risk_profile"": ""High risk""}",272,2024-07-30T15:40:12
159,Neurology 65+ - Midwest,Neurology audience aged 65+ in the Midwest region,"{""age_band"": ""65+"", ""specialty_interest"": ""Neurology"", ""region"": ""Midwest"", ""risk_profile"": ""Low risk""}",170,2025-09-01T19:28:15
160,Preventive Care 18-34 - Midwest,Preventive Care audience aged 18-34 in the Midwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Preventive Care"", ""region"": ""Midwest"", ""risk_profile"": ""Low risk""}",275,2025-11-01T07:14:16
161,Diabetes 35-49 - Midwest,Diabetes audience aged 35-49 in the Midwest region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Diabetes"", ""region"": ""Midwest"", ""risk_profile"": ""Moderate risk""}",345,2025-07-31T09:26:52
162,Cardiology 18-34 - Southeast,Cardiology audience aged 18-34 in the Southeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Cardiology"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",371,2025-09-21T00:44:41
163,Preventive Care 35-49 - Southeast,Preventive Care audience aged 35-49 in the Southeast region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Preventive Care"", ""region"": ""Southeast"", ""risk_profile"": ""Moderate risk""}",156,2026-03-24T12:52:45
164,Neurology 18-34 - Southeast,Neurology audience aged 18-34 in the Southeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Neurology"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",61,2025-11-18T14:50:16
165,Neurology 65+ - National,Neurology audience aged 65+ in the National region,"{""age_band"": ""65+"", ""specialty_interest"": ""Neurology"", ""region"": ""National"", ""risk_profile"": ""High risk""}",361,2024-09-23T08:24:04
166,Neurology 65+ - West,Neurology audience aged 65+ in the West region,"{""age_band"": ""65+"", ""specialty_interest"": ""Neurology"", ""region"": ""West"", ""risk_profile"": ""Moderate risk""}",398,2024-11-23T08:36:21
167,Preventive Care 65+ - West,Preventive Care audience aged 65+ in the West region,"{""age_band"": ""65+"", ""specialty_interest"": ""Preventive Care"", ""region"": ""West"", ""risk_profile"": ""High risk""}",184,2024-12-13T01:24:29
168,Pulmonology 50-64 - West,Pulmonology audience aged 50-64 in the West region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Pulmonology"", ""region"": ""West"", ""risk_profile"": ""Moderate risk""}",239,2024-07-03T02:11:26
169,Pulmonology 65+ - Southeast,Pulmonology audience aged 65+ in the Southeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Pulmonology"", ""region"": ""Southeast"", ""risk_profile"": ""Moderate risk""}",161,2025-03-05T00:13:03
170,Neurology 18-34 - National,Neurology audience aged 18-34 in the National region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Neurology"", ""region"": ""National"", ""risk_profile"": ""Low risk""}",9,2024-11-06T01:10:54
171,Primary Care 65+ - Southeast,Primary Care audience aged 65+ in the Southeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Primary Care"", ""region"": ""Southeast"", ""risk_profile"": ""Low risk""}",169,2024-10-13T03:51:28
172,Neurology 65+ - Southwest,Neurology audience aged 65+ in the Southwest region,"{""age_band"": ""65+"", ""specialty_interest"": ""Neurology"", ""region"": ""Southwest"", ""risk_profile"": ""High risk""}",336,2025-10-01T10:27:58
173,Primary Care 50-64 - Southwest,Primary Care audience aged 50-64 in the Southwest region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Primary Care"", ""region"": ""Southwest"", ""risk_profile"": ""High risk""}",329,2025-11-12T23:01:59
174,Preventive Care 65+ - Southeast,Preventive Care audience aged 65+ in the Southeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Preventive Care"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",408,2025-01-16T01:02:22
175,Oncology 35-49 - National,Oncology audience aged 35-49 in the National region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Oncology"", ""region"": ""National"", ""risk_profile"": ""High risk""}",251,2024-09-07T10:53:56
176,Diabetes 18-34 - Northeast,Diabetes audience aged 18-34 in the Northeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Diabetes"", ""region"": ""Northeast"", ""risk_profile"": ""High risk""}",25,2025-12-02T04:18:31
177,Dermatology 18-34 - Southeast,Dermatology audience aged 18-34 in the Southeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Dermatology"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",119,2024-06-09T07:00:51
178,Diabetes 35-49 - Southeast,Diabetes audience aged 35-49 in the Southeast region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Diabetes"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",234,2025-02-01T08:57:54
179,Preventive Care 18-34 - National,Preventive Care audience aged 18-34 in the National region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Preventive Care"", ""region"": ""National"", ""risk_profile"": ""Moderate risk""}",9,2024-04-22T15:15:47
180,Diabetes 65+ - Northeast,Diabetes audience aged 65+ in the Northeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Diabetes"", ""region"": ""Northeast"", ""risk_profile"": ""High risk""}",370,2024-11-16T21:32:18
181,Diabetes 50-64 - West,Diabetes audience aged 50-64 in the West region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Diabetes"", ""region"": ""West"", ""risk_profile"": ""High risk""}",346,2025-03-17T22:27:58
182,Cardiology 35-49 - Northeast,Cardiology audience aged 35-49 in the Northeast region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Cardiology"", ""region"": ""Northeast"", ""risk_profile"": ""High risk""}",77,2024-10-21T15:59:04
183,Primary Care 35-49 - Midwest,Primary Care audience aged 35-49 in the Midwest region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Primary Care"", ""region"": ""Midwest"", ""risk_profile"": ""Moderate risk""}",408,2025-02-19T18:41:08
184,Pulmonology 18-34 - Southwest,Pulmonology audience aged 18-34 in the Southwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Pulmonology"", ""region"": ""Southwest"", ""risk_profile"": ""Moderate risk""}",290,2024-10-23T09:43:25
185,Primary Care 35-49 - National,Primary Care audience aged 35-49 in the National region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Primary Care"", ""region"": ""National"", ""risk_profile"": ""Low risk""}",335,2026-02-13T02:21:52
186,Cardiology 18-34 - Southwest,Cardiology audience aged 18-34 in the Southwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Cardiology"", ""region"": ""Southwest"", ""risk_profile"": ""Moderate risk""}",194,2025-06-20T19:06:05
187,Diabetes 65+ - National,Diabetes audience aged 65+ in the National region,"{""age_band"": ""65+"", ""specialty_interest"": ""Diabetes"", ""region"": ""National"", ""risk_profile"": ""Low risk""}",360,2024-08-28T14:49:17
188,Preventive Care 18-34 - Southwest,Preventive Care audience aged 18-34 in the Southwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Preventive Care"", ""region"": ""Southwest"", ""risk_profile"": ""High risk""}",402,2024-12-30T19:19:54
189,Diabetes 18-34 - Southeast,Diabetes audience aged 18-34 in the Southeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Diabetes"", ""region"": ""Southeast"", ""risk_profile"": ""Low risk""}",462,2026-02-20T18:52:18
190,Primary Care 65+ - Northeast,Primary Care audience aged 65+ in the Northeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Primary Care"", ""region"": ""Northeast"", ""risk_profile"": ""Low risk""}",351,2026-04-06T10:09:05
191,Diabetes 50-64 - Southeast,Diabetes audience aged 50-64 in the Southeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Diabetes"", ""region"": ""Southeast"", ""risk_profile"": ""Moderate risk""}",9,2024-09-25T09:42:25
192,Dermatology 35-49 - Northeast,Dermatology audience aged 35-49 in the Northeast region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Dermatology"", ""region"": ""Northeast"", ""risk_profile"": ""Moderate risk""}",84,2025-06-29T12:56:34
193,Dermatology 35-49 - National,Dermatology audience aged 35-49 in the National region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Dermatology"", ""region"": ""National"", ""risk_profile"": ""High risk""}",170,2025-02-09T15:24:43
194,Cardiology 35-49 - West,Cardiology audience aged 35-49 in the West region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Cardiology"", ""region"": ""West"", ""risk_profile"": ""High risk""}",499,2025-01-11T03:17:18
195,Cardiology 18-34 - Southwest,Cardiology audience aged 18-34 in the Southwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Cardiology"", ""region"": ""Southwest"", ""risk_profile"": ""Low risk""}",430,2024-06-15T13:04:58
196,Dermatology 50-64 - Midwest,Dermatology audience aged 50-64 in the Midwest region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Dermatology"", ""region"": ""Midwest"", ""risk_profile"": ""Low risk""}",325,2024-11-15T19:11:06
197,Preventive Care 65+ - Southeast,Preventive Care audience aged 65+ in the Southeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Preventive Care"", ""region"": ""Southeast"", ""risk_profile"": ""Moderate risk""}",284,2025-02-03T02:27:59
198,Oncology 65+ - National,Oncology audience aged 65+ in the National region,"{""age_band"": ""65+"", ""specialty_interest"": ""Oncology"", ""region"": ""National"", ""risk_profile"": ""High risk""}",339,2025-02-06T17:04:08
199,Primary Care 18-34 - Southeast,Primary Care audience aged 18-34 in the Southeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Primary Care"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",38,2024-06-20T05:17:57
200,Oncology 50-64 - Southwest,Oncology audience aged 50-64 in the Southwest region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Oncology"", ""region"": ""Southwest"", ""risk_profile"": ""High risk""}",402,2025-08-22T20:46:08
